bowler,total_runs,ball,overs,economy_rate
PD Collingwood,101,90,15.0,6.733333333333333
PH Solanki,39,36,6.0,6.5
PJ Cummins,1976,1370,228.33333333333334,8.654014598540146
PJ Sangwan,1267,905,150.83333333333334,8.4
PM Sarvesh Kumar,42,31,5.166666666666667,8.129032258064516
PP Chawla,5179,3895,649.1666666666666,7.977920410783056
PP Ojha,2399,1945,324.1666666666667,7.40051413881748
PV Tambe,866,674,112.33333333333333,7.70919881305638
PVD Chameera,442,297,49.5,8.929292929292929
PWH de Silva,758,557,92.83333333333333,8.165170556552964
Pankaj Singh,472,311,51.833333333333336,9.106109324758842
Parvez Rasool,273,200,33.333333333333336,8.19
R Ashwin,5435,4679,779.8333333333334,6.969437914084206
R Bhatia,2059,1661,276.8333333333333,7.437688139674895
R Dhawan,922,693,115.5,7.982683982683983
R Goyal,34,24,4.0,8.5
R McLaren,558,372,62.0,9.0
R Ninan,65,36,6.0,10.833333333333334
R Parag,307,181,30.166666666666668,10.176795580110497
R Powell,35,21,3.5,10.0
R Rampaul,319,278,46.333333333333336,6.884892086330935
R Ravindra,7,12,2.0,3.5
R Sai Kishore,259,191,31.833333333333332,8.136125654450263
R Sanjay Yadav,23,14,2.3333333333333335,9.857142857142856
R Sathish,233,144,24.0,9.708333333333334
R Sharma,1100,935,155.83333333333334,7.0588235294117645
R Shepherd,260,133,22.166666666666668,11.729323308270676
R Shukla,217,130,21.666666666666668,10.015384615384615
R Tewatia,1117,866,144.33333333333334,7.739030023094688
R Vinay Kumar,3041,2186,364.3333333333333,8.346752058554438
RA Jadeja,4917,3895,649.1666666666666,7.5743260590500645
RA Shaikh,11,6,1.0,11.0
RA Tripathi,12,6,1.0,12.0
RD Chahar,2165,1697,282.8333333333333,7.65468473777254
RE van der Merwe,515,455,75.83333333333333,6.791208791208792
RG More,63,37,6.166666666666667,10.216216216216216
RG Sharma,462,349,58.166666666666664,7.9426934097421205
RJ Gleeson,72,51,8.5,8.470588235294118
RJ Harris,1085,865,144.16666666666666,7.526011560693642
RJ Peterson,70,48,8.0,8.75
RJW Topley,182,107,17.833333333333332,10.205607476635514
RN ten Doeschate,94,83,13.833333333333334,6.795180722891566
RP Meredith,621,415,69.16666666666667,8.978313253012047
RP Singh,2417,1874,312.3333333333333,7.738527214514408
RR Bhatkal,35,12,2.0,17.5
RR Bose,24,12,2.0,12.0
RR Powar,538,443,73.83333333333333,7.286681715575622
RR Raje,214,144,24.0,8.916666666666666
RS Bopara,301,213,35.5,8.47887323943662
RS Gavaskar,8,6,1.0,8.0
RS Hangargekar,60,43,7.166666666666667,8.372093023255813
RV Gomez,130,97,16.166666666666668,8.041237113402062
RV Patel,22,20,3.3333333333333335,6.6
RW Price,33,18,3.0,11.0
Ramandeep Singh,64,45,7.5,8.533333333333333
Rashid Khan,3340,2901,483.5,6.907962771458118
Rasikh Salam,341,207,34.5,9.884057971014492
